place_fips,place_name,full_fips,county_name,% difference
3971892,Sharonville city,39061,Hamilton County,94.05
4832156,Happy town,48437,Swisher County,93.97
2044250,Manhattan city,20161,Riley County,93.96
2953624,Oak Grove city,29095,Jackson County,93.94
3731060,Hickory city,37035,Catawba County,93.94
1965010,Protivin city,19089,Howard County,93.94
4055150,Okmulgee city,40111,Okmulgee County,93.90
4843888,Longview city,48183,Gregg County,93.87
4906810,Bluffdale city,49035,Salt Lake County,93.87
1974955,Stanley city,19019,Buchanan County,93.85
1723256,Elk Grove Village village,17031,Cook County,93.82
845255,Littleton city,08005,Arapahoe County,93.81
4046200,Mannford town,40037,Creek County,93.76
1944490,Lenox city,19173,Taylor County,93.76
1837692,Jamestown town,18011,Boone County,93.73
2707282,Braham city,27059,Isanti County,93.70
500580,Alexander city,05125,Saline County,93.67
529920,Hardy city,05135,Sharp County,93.65
1949215,Maquoketa city,19097,Jackson County,93.54
2172372,Sparta city,21077,Gallatin County,93.49
1304000,Atlanta city,13121,Fulton County,93.49
5533000,Hartford city,55131,Washington County,93.46
2712772,Comfrey city,27015,Brown County,93.45
4128200,Gates city,41047,Marion County,93.45
3710120,Candor town,37123,Montgomery County,93.42
2928036,Gower city,29049,Clinton County,93.32
812910,Central City city,08047,Gilpin County,93.29
1667960,Ririe city,16051,Jefferson County,93.28
5553950,Montfort village,55043,Grant County,93.19
1243250,Marineland town,12035,Flagler County,93.15
2920134,Drexel city,29037,Cass County,93.15
175096,Taylor town,01069,Houston County,93.14
6057700,Nu'uuli village,60010,Eastern District,93.11
1336528,Haralson town,13077,Coweta County,93.06
1360340,Perry city,13153,Houston County,93.04
3909890,Buckeye Lake village,39089,Licking County,93.03
5520450,Dorchester village,55019,Clark County,93.03
3144700,Shelton village,31019,Buffalo County,93.00
1715833,Columbia city,17133,Monroe County,92.95
3711800,Chapel Hill town,37135,Orange County,92.93
1921000,Des Moines city,19153,Polk County,92.90
3709060,Burlington city,37001,Alamance County,92.83
176944,Trussville city,01073,Jefferson County,92.80
1852020,Nappanee city,18039,Elkhart County,92.80
4039550,Ketchum town,40035,Craig County,92.79
2901828,Argyle town,29151,Osage County,92.76
1353172,Mountain Park city,13121,Fulton County,92.72
1380508,Warner Robins city,13153,Houston County,92.72
3936610,Huber Heights city,39113,Montgomery County,92.71
4805000,Austin city,48453,Travis County,92.62
5439460,Huntington city,54011,Cabell County,92.58
2878640,Wesson town,28029,Copiah County,92.39
1358884,Palmetto city,13121,Fulton County,92.34
1939585,Jesup city,19019,Buchanan County,92.30
877510,Timnath town,08069,Larimer County,92.25
3909834,Buchtel village,39009,Athens County,92.17
5509925,Brodhead city,55045,Green County,92.15
1759026,Peoria Heights village,17143,Peoria County,92.13
4863572,Rowlett city,48113,Dallas County,92.11
5556350,New Auburn village,55017,Chippewa County,92.09
2203110,Arnaudville town,22097,St. Landry Parish,92.08
2633420,Grand Ledge city,26045,Eaton County,92.05
