"","EPISODE_ID","EVENT_ID","BEGIN_YEARMONTH","BEGIN_DAY","END_YEARMONTH","END_DAY","STATE","STATE_FIPS","EVENT_TYPE","CZ_TYPE","CZ_FIPS","CZ_NAME","INJURIES_DIRECT","INJURIES_INDIRECT","DEATHS_DIRECT","DEATHS_INDIRECT","DAMAGE_PROPERTY","DAMAGE_CROPS","FLOOD_CAUSE"
"738",1165434,5381425,200401,7,200401,7,"MICHIGAN",26,"Winter Storm","Z",2,"ONTONAGON",0,0,0,0,"","",NA
"739",1165457,5381239,200401,3,200401,4,"NEBRASKA",31,"Winter Storm","Z",91,"NEMAHA",0,0,0,0,"","",NA
"740",1183035,5431033,200412,11,200412,11,"MONTANA",30,"High Wind","Z",25,"DAWSON",0,0,0,0,"","",NA
"741",1182582,5430800,200412,7,200412,7,"CALIFORNIA",6,"Heavy Snow","Z",81,"CENTRAL SISKIYOU COUNTY",0,0,0,0,"","",NA
"742",1182582,5430801,200412,7,200412,7,"CALIFORNIA",6,"Heavy Snow","Z",82,"SOUTH CENTRAL SISKIYOU COUNTY",0,0,0,0,"","",NA
"743",1183208,5430930,200412,19,200412,20,"GEORGIA",13,"Winter Weather","Z",24,"BANKS",0,0,0,0,"","",NA
"744",1183513,5431497,200412,1,200412,3,"CALIFORNIA",6,"Frost/Freeze","Z",42,"W/S ORANGE",0,0,0,0,"","",NA
"745",1183513,5431498,200412,1,200412,3,"CALIFORNIA",6,"Frost/Freeze","Z",48,"X SW SAN BERNARDINO",0,0,0,0,"","",NA
"746",1183037,5431147,200412,20,200412,20,"MONTANA",30,"High Wind","Z",27,"WIBAUX",0,0,0,0,"","",NA
"747",1182720,5430905,200412,23,200412,23,"ATLANTIC NORTH",88,"Marine Thunderstorm Wind","M",353,"MORICHES INLET TO FIRE ISLAND INLET NY OUT 20NM",0,0,0,0,"","",NA
"748",1183226,5431176,200402,27,200402,27,"HAWAII",15,"Thunderstorm Wind","C",1,"HAWAII",0,0,0,0,"","750K",NA
"749",1183227,5431177,200402,27,200402,28,"HAWAII",15,"Tornado","C",1,"HAWAII",0,0,0,0,"","",NA
"750",1165463,5381500,200401,28,200401,28,"NEBRASKA",31,"Cold/Wind Chill","Z",33,"CUMING",0,0,0,0,"","",NA
"751",1165425,5380347,200401,27,200401,28,"MONTANA",30,"Heavy Snow","Z",2,"WEST GLACIER REGION",0,0,0,0,"","",NA
"752",1165425,5380348,200401,27,200401,28,"MONTANA",30,"Heavy Snow","Z",43,"BLACKFOOT REGION",0,0,0,0,"","",NA
"753",1164877,5380427,200401,15,200401,16,"NEW YORK",36,"Cold/Wind Chill","Z",60,"WESTERN COLUMBIA",0,0,0,0,"","",NA
"754",1164881,5380446,200401,7,200401,10,"MAINE",23,"Cold/Wind Chill","Z",32,"NORTHERN WASHINGTON",0,0,0,0,"","",NA
"755",1164883,5380522,200401,14,200401,16,"MAINE",23,"Cold/Wind Chill","Z",15,"SOUTHERN PENOBSCOT",0,0,0,0,"","",NA
"756",1164883,5380523,200401,14,200401,16,"MAINE",23,"Cold/Wind Chill","Z",31,"SOUTHERN PISCATAQUIS",0,0,0,0,"","",NA
"757",1164884,5380524,200401,19,200401,19,"MAINE",23,"Heavy Snow","Z",2,"NORTHEAST AROOSTOOK",0,0,0,0,"","",NA
"758",1164884,5380525,200401,19,200401,19,"MAINE",23,"Heavy Snow","Z",5,"NORTHERN PENOBSCOT",0,0,0,0,"","",NA
"759",1164884,5380526,200401,19,200401,19,"MAINE",23,"Heavy Snow","Z",4,"NORTHERN PISCATAQUIS",0,0,0,0,"","",NA
"760",1164877,5380412,200401,15,200401,16,"NEW YORK",36,"Cold/Wind Chill","Z",64,"EASTERN ULSTER",0,0,0,0,"","",NA
"761",1164877,5380413,200401,15,200401,16,"NEW YORK",36,"Cold/Wind Chill","Z",33,"HAMILTON",0,0,0,0,"","",NA
"762",1164877,5380414,200401,15,200401,16,"NEW YORK",36,"Cold/Wind Chill","Z",40,"MONTGOMERY",0,0,0,0,"","",NA
"763",1165339,5380949,200401,4,200401,5,"NORTH DAKOTA",38,"Cold/Wind Chill","Z",20,"OLIVER",0,0,0,0,"","",NA
"764",1165339,5380950,200401,4,200401,5,"NORTH DAKOTA",38,"Cold/Wind Chill","Z",13,"PIERCE",0,0,0,0,"","",NA
"765",1165331,5380935,200401,25,200401,26,"IOWA",19,"Winter Storm","Z",3,"DICKINSON",0,0,0,0,"","",NA
"766",1165331,5380936,200401,25,200401,26,"IOWA",19,"Winter Storm","Z",32,"IDA",0,0,0,0,"","",NA
