origin_statefips,origin_countyfips,dest_statefips,dest_countyfips,dest_stateabbr,dest_countyname,n_returns,n_individuals,adj_grossincome
44,9,9,15,CT,Windham County,36,73,2684
44,9,12,99,FL,Palm Beach County,36,67,13417
44,9,25,21,MA,Norfolk County,35,53,4600
44,9,44,1,RI,Bristol County,34,50,3180
44,9,12,71,FL,Lee County,31,51,3962
44,9,12,115,FL,Sarasota County,27,53,4462
44,9,12,21,FL,Collier County,26,40,2604
44,9,25,27,MA,Worcester County,26,42,1887
44,9,9,1,CT,Fairfield County,24,42,4362
44,9,12,103,FL,Pinellas County,22,38,2311
44,9,25,23,MA,Plymouth County,22,28,1975
44,9,9,7,CT,Middlesex County,20,36,1698
45,1,45,1,SC,Abbeville County Non-migrants,7653,16338,410713
45,1,45,7,SC,Anderson County,128,239,4234
45,1,45,47,SC,Greenwood County,119,250,4934
45,1,45,45,SC,Greenville County,52,84,2224
45,3,45,3,SC,Aiken County Non-migrants,60459,123370,4178375
45,3,13,245,GA,Richmond County,488,865,19351
45,3,45,37,SC,Edgefield County,385,849,26041
45,3,45,63,SC,Lexington County,252,487,12631
45,3,13,73,GA,Columbia County,246,472,16386
45,3,45,79,SC,Richland County,147,242,6304
45,3,45,11,SC,Barnwell County,99,209,4627
45,3,45,45,SC,Greenville County,92,144,5615
45,3,45,81,SC,Saluda County,54,101,2242
45,3,45,19,SC,Charleston County,52,70,3232
45,3,45,13,SC,Beaufort County,43,79,4019
45,3,37,119,NC,Mecklenburg County,40,59,2214
45,3,13,51,GA,Chatham County,36,56,1773
45,3,45,65,SC,McCormick County,36,68,2208
45,3,45,75,SC,Orangeburg County,33,58,1278
45,3,13,33,GA,Burke County,32,56,1448
45,3,13,121,GA,Fulton County,28,46,2707
45,3,45,15,SC,Berkeley County,27,49,1549
45,3,45,83,SC,Spartanburg County,27,43,1308
45,3,12,31,FL,Duval County,26,42,1195
45,3,13,89,GA,DeKalb County,26,34,1386
45,3,45,91,SC,York County,24,41,1115
45,3,45,35,SC,Dorchester County,23,40,1164
45,3,45,47,SC,Greenwood County,23,43,487
45,3,45,51,SC,Horry County,21,37,1428
45,3,47,93,TN,Knox County,20,28,1105
